Date,Open,High,Low,Close,Adj Close,Volume
2020-02-07,106.9000015258789,106.9000015258789,102.9000015258789,105.05000305175781,104.5350570678711,16901
2020-02-10,105.94999694824219,105.94999694824219,101.0,102.30000305175781,101.79853057861328,25560
2020-02-11,102.94999694824219,104.0999984741211,101.1500015258789,103.0999984741211,102.5946044921875,37813
2020-02-12,107.3499984741211,109.0,103.75,104.8499984741211,104.33602905273438,42092
2020-02-13,104.80000305175781,125.80000305175781,104.30000305175781,108.30000305175781,107.76911926269531,108650
2020-02-14,108.30000305175781,109.94999694824219,106.19999694824219,108.1500015258789,107.61985778808594,21067
2020-02-17,108.94999694824219,109.0,103.0,106.0,105.48039245605469,42231
2020-02-18,106.0,106.80000305175781,103.5,105.5,104.98284149169922,25258
2020-02-19,106.0,106.6500015258789,104.30000305175781,105.05000305175781,104.5350570678711,54617
2020-02-20,104.30000305175781,106.0,102.5,103.05000305175781,102.54486083984375,29216
2020-02-24,103.05000305175781,104.5,102.1500015258789,102.4000015258789,101.89804077148438,27836
2020-02-25,103.0999984741211,103.80000305175781,102.6500015258789,103.0999984741211,102.5946044921875,30231
2020-02-26,102.0999984741211,103.6500015258789,100.05000305175781,102.05000305175781,101.54975891113281,37163
2020-02-27,101.9000015258789,103.30000305175781,100.0,102.30000305175781,101.79853057861328,55717
2020-02-28,100.0,103.19999694824219,97.05000305175781,102.05000305175781,101.54975891113281,105877
2020-03-02,102.9000015258789,102.9000015258789,98.0999984741211,100.0,99.50980377197266,73761
2020-03-03,101.8499984741211,101.8499984741211,97.05000305175781,97.9000015258789,97.42009735107422,70249
2020-03-04,100.19999694824219,100.19999694824219,90.55000305175781,92.0,91.54901885986328,207693
2020-03-05,93.75,95.9000015258789,89.0999984741211,91.5,91.05147552490234,304629
2020-03-06,90.0,92.0,85.6500015258789,88.94999694824219,88.51396942138672,35224
2020-03-09,88.75,89.80000305175781,86.8499984741211,87.80000305175781,87.36961364746094,53434
2020-03-11,88.05000305175781,89.55000305175781,87.30000305175781,88.3499984741211,87.91690826416016,39741
2020-03-12,80.8499984741211,84.94999694824219,80.0,82.75,82.3443603515625,83134
2020-03-13,80.5,80.5,68.0,76.4000015258789,76.0254898071289,103302
2020-03-16,76.4000015258789,86.5999984741211,72.05000305175781,73.4000015258789,73.04019927978516,64088
2020-03-17,73.25,73.30000305175781,61.099998474121094,63.400001525878906,63.08921813964844,109375
2020-03-18,62.599998474121094,71.5,57.54999923706055,62.0,61.69607925415039,210947
2020-03-19,56.099998474121094,60.25,52.0,54.0,53.735294342041016,125531
2020-03-20,54.29999923706055,58.0,54.04999923706055,55.0,54.73039245605469,164031
2020-03-23,50.0,55.0,49.5,50.04999923706055,49.804656982421875,36944
2020-03-24,55.0,55.0,45.04999923706055,46.75,46.520835876464844,51339
2020-03-25,49.0,49.0,44.0,44.54999923706055,44.33161926269531,82311
2020-03-26,44.650001525878906,49.0,44.5,47.349998474121094,47.11789321899414,155067
2020-03-27,52.0,52.04999923706055,45.5,52.04999923706055,51.79485321044922,347114
2020-03-30,52.04999923706055,53.95000076293945,50.0,51.54999923706055,51.29730224609375,77289
2020-03-31,56.5,56.5,49.0,49.79999923706055,49.55588150024414,88105
2020-04-01,52.0,52.0,49.75,49.95000076293945,49.70514678955078,44300
2020-04-03,50.04999923706055,53.20000076293945,49.0,49.849998474121094,49.60563659667969,77088
2020-04-07,53.5,53.5,49.0,50.0,49.75490188598633,121637
2020-04-08,52.900001525878906,52.900001525878906,49.099998474121094,49.95000076293945,49.70514678955078,69042
2020-04-09,52.0,52.0,48.75,49.099998474121094,48.85931396484375,131091
2020-04-13,49.0,49.0,47.599998474121094,47.849998474121094,47.615440368652344,97314
