Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1285.449951171875,1291.449951171875,1271.0,1279.300048828125,1269.143310546875,47428
2020-01-02,1279.050048828125,1324.800048828125,1265.0999755859375,1316.75,1306.2958984375,80987
2020-01-03,1320.0,1334.0,1301.0999755859375,1324.75,1314.232421875,46637
2020-01-06,1338.5,1338.75,1271.0999755859375,1316.6500244140625,1306.19677734375,42944
2020-01-07,1315.0,1329.9000244140625,1315.0,1319.699951171875,1309.222412109375,48186
2020-01-08,1308.5,1329.699951171875,1301.25,1311.800048828125,1301.38525390625,45290
2020-01-09,1319.75,1355.0,1317.699951171875,1346.300048828125,1335.6114501953125,62124
2020-01-10,1352.0,1429.0,1352.0,1408.25,1397.0694580078125,109670
2020-01-13,1420.25,1474.0,1420.25,1459.5,1447.91259765625,59465
2020-01-14,1474.9000244140625,1498.0,1443.0,1491.800048828125,1479.9561767578125,77100
2020-01-15,1510.0999755859375,1518.0,1473.050048828125,1495.449951171875,1483.5771484375,62686
2020-01-16,1503.0,1505.0,1477.0,1494.300048828125,1482.436279296875,45354
2020-01-17,1498.5999755859375,1510.0,1480.050048828125,1499.6500244140625,1487.743896484375,54911
2020-01-20,1497.949951171875,1501.449951171875,1481.0,1484.449951171875,1472.6644287109375,43689
2020-01-21,1486.5999755859375,1534.9000244140625,1464.0,1497.0999755859375,1485.2139892578125,57004
2020-01-22,1505.0,1549.800048828125,1470.300048828125,1476.050048828125,1464.331298828125,51679
2020-01-23,1480.0,1523.9000244140625,1474.949951171875,1514.9000244140625,1502.872802734375,50962
2020-01-24,1520.0,1533.9000244140625,1490.0,1497.199951171875,1485.313232421875,43705
2020-01-27,1512.0,1512.0,1460.0999755859375,1468.050048828125,1456.394775390625,71757
2020-01-28,1475.0,1479.699951171875,1441.3499755859375,1455.550048828125,1443.9940185546875,58868
2020-01-29,1456.0,1509.0,1445.0,1450.75,1439.2320556640625,51132
2020-01-30,1455.0,1469.0,1434.1500244140625,1451.449951171875,1439.9263916015625,42029
2020-01-31,1455.0,1484.9000244140625,1430.050048828125,1479.5999755859375,1467.85302734375,45766
2020-02-03,1455.0,1529.0,1432.050048828125,1468.050048828125,1456.394775390625,63446
2020-02-04,1467.5999755859375,1525.0,1467.5999755859375,1493.0999755859375,1481.245849609375,69340
2020-02-05,1499.9000244140625,1520.0,1478.0,1497.4000244140625,1485.51171875,48512
2020-02-06,1506.0,1514.9000244140625,1474.050048828125,1497.0,1485.1148681640625,108345
2020-02-07,1507.0,1513.949951171875,1466.3499755859375,1503.1500244140625,1491.2161865234375,69022
2020-02-10,1508.0,1509.0,1476.050048828125,1484.800048828125,1473.01171875,66306
